NAME,POLICY_COUNT
Jason Parker,76
Catherine Williams,68
Joseph Jones,62
Bradley Mcclure,50
Steven Huang,46
Michael Campbell,46
Jessica Adams,45
Jared Schneider,43
Michele Mason,43
Brenda Clark,42
Ryan Hanna,41
Ryan Cunningham,41
Felicia Joseph,41
Gabriel Hancock,40
Clarence Williams,40
Daniel Johnson DDS,40
Rachel Clark,39
Joan Adams,39
Stacy Bradley,39
Michelle Simpson,39
Justin Clark,39
Robert Fernandez,38
Barbara Perez,38
Michelle Garcia,38
James Lopez,38
Brian Adams,38
Thomas Johnson,38
Kristi Anderson,38
Alexander Anderson,38
Larry Arroyo,38
Kristie Knight,38
Jennifer Travis,38
Cindy Hall,37
Susan Reed,37
Scott Navarro,37
Erica Davis,37
Ashley Nguyen,37
Justin Boyd,37
Jason Carroll,37
Arthur Martin,37
Robert Williams,37
Brian Wilson,36
Allison Lara,36
Michael Sosa,36
Andrea Bridges,36
Debra Dawson,36
Heather Young,36
Jamie Brennan,36
Melissa Horton,36
Robert Barrera,36
Vanessa Ray,36
Amy Rivera,36
Jonathan Coffey,36
Ricky Sherman,36
David Anderson,36
David Richardson,35
Andrea Trevino,35
Dana Proctor,35
Sherry Manning,35
Crystal Mcgee,35
Luke Foley,35
John Sanders,35
Steven George,35
Shawn Richardson,35
Claudia Copeland,35
Annette Wade,35
Kathleen Griffith,35
Megan Ortega,35
Holly Ward,35
Matthew Maldonado,35
Dorothy Henderson,35
Mr. Benjamin Wade,35
Helen Price,35
Matthew Coleman,35
Jessica Robinson,35
Wayne Robertson,35
Jennifer Walker,35
Austin Evans,34
Megan Smith,34
Michael Rowland DVM,34
Angela Edwards,34
Luis Lee,34
Joshua Castro,34
Marissa Jimenez,34
Emily Flores,34
Caleb Martin,34
Barbara Sanders,34
Bryan Frank,34
Deanna Maldonado,34
Mrs. Karen Peterson MD,34
Jason Cook,34
Joshua Gonzalez,34
Richard Humphrey,34
Amy Lane,34
Darrell Anderson,34
Billy Moreno,33
Melanie Coleman,33
Nathan Lara,33
Rachel Wright,33
Austin George,33
Tamara Rivera,33
Jordan Gonzalez,33
Timothy Cole,33
Matthew Clark,33
Christine Andrews,33
Jerry Farley,33
Kimberly Pacheco,33
Jason Fuller,33
Lawrence Whitehead,33
Nicolas Robertson,33
Victoria Long,33
Amy Vasquez,33
Jose Brooks,33
Kimberly Marshall,33
Daniel Martin,33
Lisa Bryan,33
Erin Sanchez,33
Ethan Walker,33
Maxwell Griffin,33
Jennifer Mueller,33
Paige Wood,32
Mark Brown,32
Natalie Santos,32
Kim Oliver,32
Michael Martin,32
Thomas Pham,32
Daniel Phillips,32
William Jordan,32
Daniel Smith,32
Stephanie Smith,32
Mr. Ruben Lane,32
Dustin Carter,32
Shannon Nguyen,32
Lydia Yates,32
Devin Chavez,32
Robert Arnold,32
Jennifer Cervantes,32
Sarah King,32
Timothy Webster,32
Sarah Flowers,32
Barbara Casey,32
Jordan Horn,32
Todd Mack,32
Stacey Silva,32
Angela James,32
Michael Gibson,32
Cynthia Miller,32
Dominic Hart,32
John Pace,32
Charles Ball,32
Crystal Benjamin,32
David Novak,32
John Wright,32
Herbert Garcia,31
Robin Hammond,31
Richard Delacruz,31
David Mitchell,31
Tamara Santos,31
Thomas Torres,31
Erica Davis MD,31
Brian Olson,31
Matthew Jenkins,31
Cassandra Schwartz,31
Robert Brown,31
Allison Rodriguez,31
Cheryl Benjamin,31
Melanie Hardy,31
Mr. James Cooper,31
Beth Murillo,31
Gabriella Bullock,31
Lauren Cooper,31
Lauren Harding,31
Kathleen Anderson,31
Holly Rose,31
Kimberly Leonard,31
Travis Roth,31
Ellen Morales,31
Mary Wagner,31
Jennifer Ewing,31
David Velazquez,31
Robin Maynard,31
Barbara Chen,30
Erika Melton,30
George Compton,30
Chloe Rodriguez,30
Henry Oconnell,30
Tracy Williams,30
Robert Wilson,30
Ronald Thompson,30
Brian Lara,30
Holly Walker,30
Raymond Wolf,30
Martin Curry,30
Thomas Vega,30
Eric Hutchinson,30
April Fritz,30
Loretta Phillips,30
Donna Bush,30
Micheal Miller,30
Stacy Bruce,30
Rhonda Peterson,30
Michael Johnson,30
Jesse Hamilton,30
Kelly Fleming,30
Cheryl Peterson,30
Paul Kim,30
Lisa Stewart,30
Mary Thomas,30
Brian Ward,30
Nancy Hernandez,30
Gregory Jones,29
Tammy Cooper,29
Miss Rhonda Bell,29
Brett Willis,29
Michael Cardenas,29
Sheena Prince,29
Jessica Garcia,29
Joshua Nelson,29
Dennis Martinez,29
Kathy Gutierrez,29
Gina Smith,29
Gregory Johnson,29
Sara Marshall,29
Rachel Lee,29
John Evans,29
Stephanie Stewart,29
Jonathan Moore,29
Nicholas Alexander,29
Jackie Carrillo,29
