POLICY_MONTH,AGENT_NAME,NUM_POLICIES
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Herbert Garcia,4
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),David Richardson,4
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Jamie Brennan,4
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Kathleen Griffith,4
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Holly Walker,3
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Kimberly Leonard,3
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Joseph Allen,3
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Michele Mason,3
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Alexander Hill,3
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Michael Campbell,3
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Carla Frederick,3
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Timothy Harris,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Elizabeth King,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Barbara Perez,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Jeremiah Smith,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Rachel Lee,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Jessica Adams,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Sarah King,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Suzanne Miller,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Anthony Fuentes,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Mary Wagner,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Dana Proctor,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Gregory Johnson,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Bradley Mcclure,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Jill Cook,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Dr. Christopher Davis,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Sara Marshall,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Richard Humphrey,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Daniel Williams,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Tamara Rivera,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Steven Huang,2
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Carly Burton,2
