AGENT_ID,NAME,MONTH,TOTAL_PREMIUM
AGENT-daf64d98-540f-452d-997a-576364af929e,Kathleen Griffith,Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),33795.72
AGENT-f1639146-2bc1-48e6-9ca3-4d1fe103048b,Steven Huang,Mon Mar 31 2025 19:00:00 GMT-0500 (Central Daylight Time),41217.53
AGENT-4c6243cd-d3db-4e2f-8e86-193ad721a72a,Anthony Dunn,Fri Feb 28 2025 18:00:00 GMT-0600 (Central Standard Time),36009.65
AGENT-1b203866-0f48-4037-831a-be63ea446461,Tara Barrera,Fri Jan 31 2025 18:00:00 GMT-0600 (Central Standard Time),43682.45
AGENT-544e56b1-3548-4974-98e9-0e084b4d94c4,Jessica Becker,Tue Dec 31 2024 18:00:00 GMT-0600 (Central Standard Time),38557.64
AGENT-63a8e76d-c31d-4aad-8d64-a63caf615113,Kimberly Marshall,Sat Nov 30 2024 18:00:00 GMT-0600 (Central Standard Time),56254.81
AGENT-8b8e3470-b9ec-4eb2-9916-d3286bc00031,Holly Walker,Thu Oct 31 2024 19:00:00 GMT-0500 (Central Daylight Time),35967.29
AGENT-ed23dd16-4c4b-46a6-aa8a-861ccdd89cdc,Michael Price,Mon Sep 30 2024 19:00:00 GMT-0500 (Central Daylight Time),37222.85
AGENT-5fc87df7-f16d-4f00-8e0f-f39dc1279180,Samuel Wyatt,Sat Aug 31 2024 19:00:00 GMT-0500 (Central Daylight Time),38339.61
AGENT-dd70be0a-99aa-4cc7-906e-69288594290c,Joshua Gonzalez,Wed Jul 31 2024 19:00:00 GMT-0500 (Central Daylight Time),34031.91
AGENT-58b944ca-0c7b-48d2-991b-86de42e29066,Darrell Anderson,Sun Jun 30 2024 19:00:00 GMT-0500 (Central Daylight Time),39613.39
AGENT-71c5b852-4b59-4587-aa8e-ee7918db2e1c,Justin Clark,Fri May 31 2024 19:00:00 GMT-0500 (Central Daylight Time),38798.5
AGENT-e3c608cc-5239-450b-974a-b0ddeda9016a,Joseph Tran,Tue Apr 30 2024 19:00:00 GMT-0500 (Central Daylight Time),45874.58
AGENT-e88bf276-c3bf-44d1-8ee5-b59add32dfce,Heather Young,Sun Mar 31 2024 19:00:00 GMT-0500 (Central Daylight Time),46647.15
AGENT-40ea762f-73e9-4255-9cac-ecf8b442200a,Michele Mason,Thu Feb 29 2024 18:00:00 GMT-0600 (Central Standard Time),46530.96
AGENT-a43eae30-c58e-4b48-a867-19aa22fe5b8a,Stacy Bradley,Wed Jan 31 2024 18:00:00 GMT-0600 (Central Standard Time),31693.46
AGENT-539aa432-ac1d-472b-91e4-db9f2ff127c9,Mary Wagner,Sun Dec 31 2023 18:00:00 GMT-0600 (Central Standard Time),42330.2
AGENT-ae0ca926-b0f6-4342-8cf7-e0a9c77ee4ef,Holly Peterson,Thu Nov 30 2023 18:00:00 GMT-0600 (Central Standard Time),36326.42
AGENT-dd125b1f-07c1-4224-a259-29a7ece35843,Ellen Morales,Tue Oct 31 2023 19:00:00 GMT-0500 (Central Daylight Time),36634.72
AGENT-0f66814c-a4c4-4aae-a6d7-cb6183d192dc,Monica Randolph,Sat Sep 30 2023 19:00:00 GMT-0500 (Central Daylight Time),34810.18
AGENT-fc4d1775-34ab-45f4-865a-f7b41952cfcc,Daniel Phillips,Thu Aug 31 2023 19:00:00 GMT-0500 (Central Daylight Time),37210.49
