POLICY_ID,PREMIUM,AGENT_NAME
POLICY-00043d75-80ca-4a80-a70b-dd0d6bc7e61e,658.32,Jason Parker
POLICY-00050118-dcb0-4ca0-9552-2207e69c0ab1,13101.94,Kim Oliver
POLICY-000deef8-e44f-4254-bd89-81d5c181bfff,2170.53,Bradley Mcclure
POLICY-000fd2a8-9986-4927-878f-8d21f4e2a6b4,3006.3,Erin Pham
POLICY-00105aad-dc6f-4d6c-86aa-668f99d4374f,5569.15,Richard Roberts
POLICY-00148ab5-46ea-49c6-8373-0e1207f86df7,5057.72,James Wall
POLICY-001636b5-31d0-4c02-9a3d-e16cd11be2b1,13102.71,Todd Mack
POLICY-0019eead-8b36-4087-b917-314637704392,13921.57,Rachel Lee
POLICY-001d6e33-1090-4d8b-9d99-26aba9d1a360,7815.2,Nathan Lara
POLICY-0027f3c4-f9b1-490e-88cc-4800aed4b65f,2056.5,Brandon Porter
POLICY-00302195-068f-4163-8ba3-b9907fb60ec8,8780.3,Jose Brooks
POLICY-00364a0a-6527-4c56-9fe4-aeefa3402bdf,1934.88,David Richardson
POLICY-003a298e-9f9e-4d0b-8fce-c0983d9ba722,4414.33,Natalie Santos
POLICY-004d3cf9-90f7-458e-a985-4cbb63919347,6340.64,David Novak
POLICY-005728a7-7071-4b5e-9504-d20b78aab1c8,1436.65,Adam Garcia
POLICY-005935f7-ab13-4776-877c-87c8b859eeae,6374.78,Ethan Miller
POLICY-005a78b4-7f32-4d8c-bade-b1469e7ab8d4,11679.08,Kristie Knight
POLICY-005d2886-7eec-48dc-a4e7-8d513e9efb46,1515.72,Mary Wagner
POLICY-0074092b-5fbc-4e63-ad56-0d8d061c35bb,9507.98,Richard Casey
POLICY-00782a1a-d31e-4943-a1f6-e102d7018db1,3311.77,Gregg Kelly
POLICY-007a2a6b-a7a3-49e5-a357-c7824d3fcdfd,2588.8,Kristie Knight
POLICY-008011ad-948f-43bd-8cda-bbbd8a19f7be,5256.55,Cheryl Peterson
POLICY-00812ebf-dee7-408a-bba8-854b50e4368d,1658.87,Jose Brooks
POLICY-0082062a-2999-459e-bed3-510405e28c64,6878.31,Maxwell Griffin
POLICY-009017af-0991-41a3-b189-ad957a2e6d81,918.87,Tamara Santos
POLICY-009069f4-df54-4276-bceb-6baf6661c22b,3917.36,Michele Mason
POLICY-0090e7eb-bb9f-482d-b7de-b66f4f0c43dc,13480.2,Amy Lane
POLICY-00912ec3-a2dc-47d3-ab0f-6a57f54ef395,9563.76,Larry Arroyo
POLICY-0097833e-0c01-4dec-ba25-9d8f0e217212,4037.64,Catherine Williams
POLICY-009e32a9-ca4e-451f-980d-3854f89f091f,632.57,Richard Humphrey
POLICY-009e8662-f07f-481f-bea4-ae434deec36f,6190.77,Mark Brown
POLICY-009f8a94-a3ba-446d-9f74-547345f5be97,3335.69,Nicolas Robertson
POLICY-00a2003a-9e96-4247-acb9-46eff12ad72c,9605.21,Laura Wheeler
POLICY-00a6b078-fab0-445e-9fa1-2078680ade1b,9643.15,Michael Price
POLICY-00a864be-fbdd-4eb1-9093-16b021d2a41d,5117.61,Jordan Gonzalez
POLICY-00ac8ed0-5d7a-452d-b3cd-4012f3e7fd4a,3565.27,Cassandra Schwartz
POLICY-00af31a3-2f27-4c88-b1dd-493edde15258,3585.15,Jeremiah Smith
POLICY-00b50061-734b-43d8-8878-eb06faa2badc,2954.21,Colleen Hill
POLICY-00becf19-72aa-47a9-aee7-6634aa2294a2,5317.96,Lawrence Whitehead
