SALES_MONTH,AGENT_NAME,TOTAL_PREMIUM
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Kathleen Griffith,33795.72
Mon Mar 31 2025 19:00:00 GMT-0500 (Central Daylight Time),Steven Huang,41217.53
Fri Feb 28 2025 18:00:00 GMT-0600 (Central Standard Time),Anthony Dunn,36009.65
Fri Jan 31 2025 18:00:00 GMT-0600 (Central Standard Time),Tara Barrera,43682.45
Tue Dec 31 2024 18:00:00 GMT-0600 (Central Standard Time),Jessica Becker,38557.64
Sat Nov 30 2024 18:00:00 GMT-0600 (Central Standard Time),Kimberly Marshall,56254.81
Thu Oct 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Holly Walker,35967.29
Mon Sep 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Michael Price,37222.85
Sat Aug 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Samuel Wyatt,38339.61
Wed Jul 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Joshua Gonzalez,34031.91
Sun Jun 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Darrell Anderson,39613.39
Fri May 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Justin Clark,38798.5
Tue Apr 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Joseph Tran,45874.58
Sun Mar 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Heather Young,46647.15
Thu Feb 29 2024 18:00:00 GMT-0600 (Central Standard Time),Michele Mason,46530.96
Wed Jan 31 2024 18:00:00 GMT-0600 (Central Standard Time),Stacy Bradley,31693.46
Sun Dec 31 2023 18:00:00 GMT-0600 (Central Standard Time),Mary Wagner,42330.2
Thu Nov 30 2023 18:00:00 GMT-0600 (Central Standard Time),Holly Peterson,36326.42
Tue Oct 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Ellen Morales,36634.72
Sat Sep 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Monica Randolph,34810.18
Thu Aug 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Daniel Phillips,37210.49
Mon Jul 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Jeffrey Russell,29602.97
Fri Jun 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Emily Flores,49332.24
Wed May 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Nancy Jones,38684.33
Sun Apr 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Reginald Clark,40075.71
Fri Mar 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Daisy Martinez,42646.02
Tue Feb 28 2023 18:00:00 GMT-0600 (Central Standard Time),Tammy Cooper,42916.08
Tue Jan 31 2023 18:00:00 GMT-0600 (Central Standard Time),Jennifer Travis,41519.94
Sat Dec 31 2022 18:00:00 GMT-0600 (Central Standard Time),Thomas Vega,36158.98
Wed Nov 30 2022 18:00:00 GMT-0600 (Central Standard Time),Jerome Livingston,37528.08
Mon Oct 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Melissa Ray,37650.05
Fri Sep 30 2022 19:00:00 GMT-0500 (Central Daylight Time),John Wright,49547.11
Wed Aug 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Ronald Thompson,38580.68
Sun Jul 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Stacey Silva,56929.51
Thu Jun 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Michelle Simpson,42169.54
Tue May 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Kristopher Rivera,33794.29
Sat Apr 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Gabriel Hancock,33910.2
Thu Mar 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Mrs. Karen Peterson MD,44596.64
Mon Feb 28 2022 18:00:00 GMT-0600 (Central Standard Time),Erika Melton,30337.91
Mon Jan 31 2022 18:00:00 GMT-0600 (Central Standard Time),Melissa Horton,29382.64
Fri Dec 31 2021 18:00:00 GMT-0600 (Central Standard Time),Luke Foley,38934.44
